"__mclCluster","EnrichmentMap::Colouring (Dataset 1)","EnrichmentMap::ES (Dataset 1)","EnrichmentMap::fdr_qvalue (Dataset 1)","EnrichmentMap::fwer_qvalue (Dataset 1)","EnrichmentMap::Genes","EnrichmentMap::GS_DESCR","EnrichmentMap::gs_size","EnrichmentMap::GS_Type","EnrichmentMap::Name","EnrichmentMap::NES (Dataset 1)","EnrichmentMap::pvalue (Dataset 1)","name","NumChildren","NumDescendents","selected","shared name"
"1","-1.0","-0.5208","0.0097","0.417","H2AC14|TP53|H2AC18|H2AC19|H2AC20|H2AC4|H2AC6|H2AC7|H2AC8|H2AJ|H2AX|H2AZ2|H2BC10|H2BC11|H2BC12|H2BC13|ASF1A|H2BC14|CABIN1|H2BC15|CCNA1|H2BC17|CCNA2|H2BC21|CCNE1|H2BC26|CCNE2|H2BC3|EP400|H2BC4|H1-0|H2BC5|H1-2|H2BC6|H1-3|H2BC7|H1-4|H2BC8|H1-5|H2BC9|HIRA|ATM|HMGA1|HMGA2|UBN1|MRE11|NBN|H4C1|RAD50|H4C11|H4C12|CDKN1A|H4C13|CDKN1B|H4C14|H4C16|H4C2|H4C3|H4C4|H4C5|H4C8|H4C9|KAT5|LMNB1|RB1|ACD|POT1|TERF1|TERF2|TERF2IP|TINF2|CDK2","https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_DNA_DAMAGE_TELOMERE_STRESS_INDUCED_SENESCENCE","72","ENR","REACTOME_DNA_DAMAGE_TELOMERE_STRESS_INDUCED_SENESCENCE","-1.7968","0.0","REACTOME_DNA_DAMAGE_TELOMERE_STRESS_INDUCED_SENESCENCE",,,"false","REACTOME_DNA_DAMAGE_TELOMERE_STRESS_INDUCED_SENESCENCE"
,"0.978","0.4427","0.0868","0.968","ANKRD28|ACD|DKC1|POT1|GAR1|RUVBL2|TERF1|NHP2|TERF2|NOP10|TERF2IP|PIF1|TINF2|PPP6C|PPP6R3|RTEL1|SHQ1|WRAP53|RUVBL1|CDK2|CCNA1|CCNA2|TERT","https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_TELOMERE_EXTENSION_BY_TELOMERASE","23","ENR","REACTOME_TELOMERE_EXTENSION_BY_TELOMERASE","1.5654","0.022","REACTOME_TELOMERE_EXTENSION_BY_TELOMERASE",,,"false","REACTOME_TELOMERE_EXTENSION_BY_TELOMERASE"
"8","-0.9796","-0.6179","0.0774","1.0","CPLX1|MAOA|PPFIA1|PPFIA2|PPFIA3|PPFIA4|RAB3A|RIMS1|SNAP25|STX1A|STXBP1|SYT1|TSPOAP1|UNC13B|VAMP2","https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_NOREPINEPHRINE_NEUROTRANSMITTER_RELEASE_CYCLE","15","ENR","REACTOME_NOREPINEPHRINE_NEUROTRANSMITTER_RELEASE_CYCLE","-1.5782","0.0204","REACTOME_NOREPINEPHRINE_NEUROTRANSMITTER_RELEASE_CYCLE",,,"false","REACTOME_NOREPINEPHRINE_NEUROTRANSMITTER_RELEASE_CYCLE"
"5","1.0","0.3847","0.0608","0.859","RAB11A|CCT2|CCT8|MCHR1|ASAP1|PKD1|GBF1|PKD2|RAB11FIP3|RAB3IP|PDE6D|RAB8A|INPP5E|ARL3|ARL6|CCT3|BBIP1|CCT4|BBS1|CCT5|BBS10|BBS12|BBS2|BBS4|BBS5|BBS7|BBS9|CYS1|LZTFL1|MKKS|NPHP3|RP2|TTC8|UNC119B|EXOC1|EXOC2|EXOC3|EXOC4|SMO|EXOC5|EXOC6|EXOC7|TCP1|EXOC8|ARF4|ARL13B","https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_CARGO_TRAFFICKING_TO_THE_PERICILIARY_MEMBRANE","46","ENR","REACTOME_CARGO_TRAFFICKING_TO_THE_PERICILIARY_MEMBRANE","1.6417","0.0","REACTOME_CARGO_TRAFFICKING_TO_THE_PERICILIARY_MEMBRANE",,,"false","REACTOME_CARGO_TRAFFICKING_TO_THE_PERICILIARY_MEMBRANE"
"2","1.0","0.3433","0.0262","0.34","FEN1|CD247|LIG1|HLA-A|AP1B1|AP1G1|AP1S1|AP1S2|AP1S3|CCNH|CDK7|ERCC2|ERCC3|GTF2H1|GTF2H2|GTF2H3|GTF2H4|GTF2H5|MNAT1|AP2A1|AP2A2|AP2B1|AP2M1|AP2S1|KPNB1|CD4|CTDP1|NELFA|NELFCD|NELFE|ELOC|NDC1|TAF9B|PACS1|PPIA|NUP107|NUP133|NUP153|NUP155|NUP160|NUP188|NUP205|FYN|NUP210|NUP214|NUP35|NUP37|NUP42|NUP43|NUP50|NUP54|NUP58|CXCR4|NUP62|NUP85|NUP88|NUP93|GTF2F1|NUP98|GTF2F2|PSIP1|POM121|POM121C|ARF1|BTRC|RAE1|RAN|RANGAP1|RCC1|SEC13|SEH1L|AP1M1|RANBP1|CUL5|ELOB|PAK2|TAF1|TAF15|TAF2|TAF3|TAF4|TAF4B|TAF7|VPS4A|ATP6V1H|NCBP1|XPO1|NCBP2|NPM1|CCNK|CCNT2|ELL|GTF2B|GTF2E1|GTF2E2|PDCD6IP|CCNT1|CDK9|POLR2A|POLR2B|GTF2A1|POLR2C|GTF2A2|POLR2D|POLR2E|POLR2F|POLR2G|POLR2H|POLR2I|POLR2J|POLR2K|POLR2L|KPNA1|SUPT4H1|SUPT5H|TAF11|TAF13|TAF5|TBP|HMGA1|TAF6|PSMA1|PSMA2|PSMA3|PSMA4|PSMA5|PSMA6|PSMA7|PSMB1|PSMB10|PSMB2|PSMB3|PSMB4|PSMB5|PSMB6|PSMB7|PSMB8|PSMB9|PSMC1|PSMC2|PSMC3|PSMC4|PSMC5|PSMC6|PSMD1|ELOA|PSMD10|PSMD11|SSRP1|PSMD12|SUPT16H|PSMD13|TCEA1|PSMD14|PSMD2|PSMD3|PSMD4|PSMD5|PSMD6|PSMD7|PSMD8|PSMD9|PSME1|PSME2|PSME3|PSME4|RNGTT|PSMF1|RNMT|RAC1|RANBP2|RBX1|RPS27A|SEM1|SKP1|MVB12A|MVB12B|TSG101|UBAP1|VPS28|CHMP5|VPS37A|LIG4|VPS37B|VPS4B|VPS37C|VTA1|NELFB|VPS37D|XRCC4|XRCC5|XRCC6|TPR|UBA52|UBB|UBC|APOBEC3G|AAAS|NMT1|NMT2|TAF10|BANF1|ELMO1|TAF12|TAF9|CHMP2A|CHMP2B|SLC25A4|CHMP3|SLC25A5|CHMP4A|SLC25A6|CHMP4B|CHMP4C|CHMP6|CHMP7|B2M|NEDD4L|FURIN","https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_HIV_INFECTION","219","ENR","REACTOME_HIV_INFECTION","1.854","0.0","REACTOME_HIV_INFECTION",,,"false","REACTOME_HIV_INFECTION"
"1","1.0","0.3127","0.0663","0.888","SRP19|SRP54|SRP68|SRP72|SRP9|SSR2|SSR3|SSR4|TRAM1|DDOST|SEC11A|SEC61B|SEC11C|SEC61G|SPCS1|SPCS2|SPCS3|RPN1|RPN2|SRP14|RPS27A|RPS6|RPS14|RPS7|RPS9|FAU|RPS2|RPL10|RPL10A|UBA52|RPL11|RPL12|RPL13|RPL13A|RPL14|RPL15|RPL17|RPL18|RPL18A|RPL19|RPL21|RPL22|RPL22L1|RPL23|RPL23A|RPL24|RPL26|RPL26L1|RPL27|RPL28|RPL29|RPL3|RPL30|RPL31|RPS27|RPL32|RPL34|RPL35|RPL35A|RPL36|RPL36A|RPL36AL|RPL37|RPL37A|RPL38|RPL39|RPL39L|RPL4|RPL41|RPL5|RPL6|RPL7|RPL7A|RPL9|RPLP1|RPLP2|RPS10|RPS11|RPS12|RPS13|RPS15|RPS15A|RPS16|RPS17|RPS18|RPL27A|RPS19|RPL8|RPS20|RPS21|RPS23|RPS24|RPS25|RPS26|RPS27L|RPS28|RPS29|RPS3|RPS3A|RPS4X|RPS4Y1|RPS5|RPS8|RPSA|SEC61A1|SEC61A2|SRPRA|RPLP0|SRPRB|SSR1","https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE","110","ENR","REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE","1.6216","0.0","REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE",,,"false","REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE"
"1","1.0","0.4385","0.0133","0.078","UBA52|UBB|UBC|ORC1|ORC2|ORC3|CCNA1|ORC4|CCNA2|ORC5|ORC6|PSMA1|PSMA2|PSMA3|PSMA4|PSMA5|PSMA6|PSMA7|PSMB1|PSMB10|PSMB2|PSMB3|PSMB4|PSMB5|PSMB6|PSMB7|PSMB8|CDC6|PSMB9|PSMC1|CDT1|PSMC2|PSMC3|PSMC4|PSMC5|MCM2|PSMC6|MCM3|PSMD1|MCM4|PSMD10|MCM5|PSMD11|MCM6|PSMD12|MCM7|PSMD13|MCM8|PSMD14|PSMD2|PSMD3|PSMD4|PSMD5|PSMD6|CUL1|PSMD7|PSMD8|PSMD9|PSME1|SKP2|PSME2|PSME3|PSME4|PSMF1|RBX1|RPS27A|SEM1|SKP1|CDK2","https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_ORC1_REMOVAL_FROM_CHROMATIN","69","ENR","REACTOME_ORC1_REMOVAL_FROM_CHROMATIN","2.0486","0.0","REACTOME_ORC1_REMOVAL_FROM_CHROMATIN",,,"false","REACTOME_ORC1_REMOVAL_FROM_CHROMATIN"
,"-0.9988","-0.6133","0.0059","0.25","PIK3R1|PIK3R2|PIK3R3|SMARCA4|BRWD1|CISH|IL7|IL7R|JAK1|RAG1|SOCS1|SOCS2|TSLP|HGF|H3C1|H3C10|H3C11|IRS1|H3C12|IRS2|H3C13|H3C14|H3C2|H3C3|H3C4|H3C6|H3C7|H3C8|STAT3|STAT5A|STAT5B","https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_INTERLEUKIN_7_SIGNALING","31","ENR","REACTOME_INTERLEUKIN_7_SIGNALING","-1.8365","0.0012","REACTOME_INTERLEUKIN_7_SIGNALING",,,"false","REACTOME_INTERLEUKIN_7_SIGNALING"
"1","1.0","0.4469","0.0119","0.052","UBA52|UBB|UBC|PLK1|PTTG1|ANAPC1|ANAPC10|PSMA1|ANAPC11|PSMA2|ANAPC15|FZR1|PSMA3|ANAPC16|PSMA4|ANAPC2|PSMA5|ANAPC4|PSMA6|ANAPC5|PSMA7|ANAPC7|PSMB1|PSMB10|PSMB2|AURKB|PSMB3|PSMB4|PSMB5|PSMB6|PSMB7|PSMB8|PSMB9|PSMC1|PSMC2|PSMC3|PSMC4|CDC16|PSMC5|CDC20|PSMC6|CDC23|PSMD1|CDC26|PSMD10|CDC27|PSMD11|PSMD12|PSMD13|PSMD14|PSMD2|PSMD3|PSMD4|PSMD5|PSMD6|PSMD7|PSMD8|PSMD9|PSME1|SKP2|PSME2|PSME3|PSME4|PSMF1|AURKA|RB1|UBE2C|UBE2D1|UBE2E1|UBE2S|RPS27A|SEM1","https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1","72","ENR","REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1","2.0949","0.0","REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1",,,"false","REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1"
"1","-1.0","-0.6104","3.0E-4","0.003","H2AC14|H2AC18|AEBP2|H2AC19|EED|H2AC20|EZH2|H2AC4|H2AC6|JARID2|H2AC7|MTF2|H2AC8|PHF1|H2AJ|PHF19|H2AX|RBBP4|H2AZ2|RBBP7|H2BC10|SUZ12|H2BC11|H2BC12|H2BC13|H2BC14|H2BC15|H2BC17|H2BC21|H2BC26|H2BC3|H2BC4|H2BC5|H2BC6|H2BC7|H2BC8|H2BC9|H3-3A|H3-3B|H3C1|H3C10|H3C11|H3C12|H3C13|H3C14|H3C2|H3C3|H3C4|H3C6|H3C7|H3C8|H4C1|H4C11|H4C12|H4C13|H4C14|H4C16|H4C2|H4C3|H4C4|H4C5|H4C8|H4C9|DNMT1|DNMT3A|DNMT3B","https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_PRC2_METHYLATES_HISTONES_AND_DNA","66","ENR","REACTOME_PRC2_METHYLATES_HISTONES_AND_DNA","-2.0718","0.0","REACTOME_PRC2_METHYLATES_HISTONES_AND_DNA",,,"false","REACTOME_PRC2_METHYLATES_HISTONES_AND_DNA"
"1","-1.0","-0.4914","0.0145","0.673","CXCL8|H2AC14|H2AC18|IL1A|H2AC19|H2AC20|H2AC4|H2AC6|H2AC7|H2AC8|H2AJ|H2AX|H2AZ2|H2BC10|H2BC11|RELA|H2BC12|H2BC13|H2BC14|H2BC15|CCNA1|H2BC17|CCNA2|H2BC21|H2BC26|H2BC3|H2BC4|H2BC5|H2BC6|H2BC7|H2BC8|CDK6|H2BC9|CDKN2B|H3-3A|CDKN2C|H3-3B|CDKN2D|H3C1|FOS|H3C10|FZR1|H3C11|H3C12|IGFBP7|H3C13|MAPK7|H3C14|NFKB1|RPS6KA1|H3C2|RPS6KA2|H3C3|RPS6KA3|H3C4|H3C6|H3C7|H3C8|H4C1|H4C11|H4C12|CDKN1A|H4C13|CDKN1B|H4C14|CEBPB|H4C16|H4C2|H4C3|H4C4|H4C5|EHMT1|H4C8|EHMT2|H4C9|RPS27A|STAT3|UBA52|UBB|UBC|ANAPC1|ANAPC10|ANAPC11|ANAPC15|ANAPC16|ANAPC2|ANAPC4|ANAPC5|ANAPC7|JUN|CDC16|CDC23|CDC26|CDC27|CDKN2A|MAPK1|MAPK3|UBE2C|UBE2D1|UBE2E1|UBE2S|CDK2|CDK4","https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_SENESCENCE_ASSOCIATED_SECRETORY_PHENOTYPE_SASP","103","ENR","REACTOME_SENESCENCE_ASSOCIATED_SECRETORY_PHENOTYPE_SASP","-1.7479","0.0","REACTOME_SENESCENCE_ASSOCIATED_SECRETORY_PHENOTYPE_SASP",,,"false","REACTOME_SENESCENCE_ASSOCIATED_SECRETORY_PHENOTYPE_SASP"
"1","1.0","0.428","0.024","0.301","UBA52|UBB|UBC|PSMA1|PSMA2|CUL3|PSMA3|PSMA4|DACT1|PSMA5|DVL1|PSMA6|DVL2|PSMA7|DVL3|PSMB1|PSMB10|PSMB2|HECW1|PSMB3|KLHL12|PSMB4|PSMB5|PSMB6|PSMB7|PSMB8|PSMB9|PSMC1|PSMC2|PSMC3|PSMC4|PSMC5|PSMC6|PSMD1|PSMD10|PSMD11|PSMD12|PSMD13|PSMD14|PSMD2|PSMD3|PSMD4|PSMD5|PSMD6|PSMD7|PSMD8|PSMD9|PSME1|PSME2|PSME3|PSME4|PSMF1|RBX1|RPS27A|SEM1","https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_DEGRADATION_OF_DVL","55","ENR","REACTOME_DEGRADATION_OF_DVL","1.8738","0.0","REACTOME_DEGRADATION_OF_DVL",,,"false","REACTOME_DEGRADATION_OF_DVL"
"12","0.9773","0.351","0.0872","0.97","DIS3|EXOSC1|EXOSC2|EXOSC3|EXOSC4|EXOSC5|EXOSC6|EXOSC7|EXOSC8|EXOSC9|PAN2|PAN3|PARN|SKIC2|SKIC8|DCP1B|DDX6|EDC3|EDC4|LSM1|LSM2|LSM3|LSM4|DCP1A|LSM5|LSM6|XRN1|LSM7|PATL1|CNOT1|CNOT10|DCPS|CNOT11|HBS1L|CNOT2|NT5C3B|CNOT3|SKIC3|CNOT4|CNOT6|CNOT6L|CNOT7|CNOT8|CNOT9|EIF4A1|EIF4A2|EIF4A3|EIF4B|EIF4E|EIF4G1|PABPC1|PAIP1|TNKS1BP1|TUT4|TUT7|DCP2","https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_DEADENYLATION_DEPENDENT_MRNA_DECAY","56","ENR","REACTOME_DEADENYLATION_DEPENDENT_MRNA_DECAY","1.5633","0.0227","REACTOME_DEADENYLATION_DEPENDENT_MRNA_DECAY",,,"false","REACTOME_DEADENYLATION_DEPENDENT_MRNA_DECAY"
"1","0.9881","0.3849","0.0863","0.963","CCND1|TFDP1|TFDP2|SKP2|CCND2|CCND3|RB1|UBE2C|E2F3|UBE2D1|UBE2E1|CCNE1|CCNE2|UBE2S|CDK6|ATRX|ANAPC1|ANAPC10|ANAPC11|ANAPC15|FZR1|ANAPC16|DAXX|ANAPC2|ANAPC4|CDKN1C|ANAPC5|ANAPC7|CDKN1A|CDKN1B|CDK2|CDK4|CDC16|CDC23|E2F1|E2F2|CDC26|CDC27","https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_DISEASES_OF_MITOTIC_CELL_CYCLE","38","ENR","REACTOME_DISEASES_OF_MITOTIC_CELL_CYCLE","1.5692","0.0119","REACTOME_DISEASES_OF_MITOTIC_CELL_CYCLE",,,"false","REACTOME_DISEASES_OF_MITOTIC_CELL_CYCLE"
"1","1.0","0.283","0.0976","0.988","SOS2|ABL1|DCC|DAG1|PAK1|RHOA|ROBO2|SLIT2|RPS14|RPS7|RPS9|EIF4A3|EIF4G1|ELOC|PABPC1|USP33|ABL2|EVL|PFN2|CXCR4|VASP|HOXA2|PAK4|PAK6|PRKACA|PRKCA|SRGAP2|SRGAP3|RPS27|COL4A5|ELOB|CUL2|ETF1|RPL27A|RPL8|RPS23|PAK2|LDB1|LHX2|NTN1|NCBP1|NCBP2|ROBO1|SLIT1|GPC1|SLIT3|RPLP0|GSPT1|GSPT2|AKAP5|NCK1|NCK2|NRP1|CAP2|CASC3|PSMA1|LHX4|PSMA2|MAGOH|PSMA3|MAGOHB|PSMA4|MSI1|PSMA5|NELL2|PSMA6|PSMA7|RBM8A|PSMB1|RNPS1|PSMB10|ROBO3|PSMB2|UPF2|PSMB3|UPF3A|PSMB4|UPF3B|PSMB5|ZSWIM8|PSMB6|PSMB7|PSMB8|PSMB9|PSMC1|PSMC2|PSMC3|PSMC4|PSMC5|PSMC6|PSMD1|PSMD10|PSMD11|PSMD12|PSMD13|PSMD14|PSMD2|PSMD3|PSMD4|PSMD5|PSMD6|PSMD7|PSMD8|PSMD9|PSME1|PSME2|PSME3|PSME4|PSMF1|RAC1|PRKACB|PRKAR2A|ENAH|RBX1|RPS27A|RPS6|FLRT3|SEM1|SOS1|SRC|FAU|RPS2|CAP1|RPL10|RPL10A|UBA52|RPL11|UBB|RPL12|UBC|RPL13|RPL13A|RPL14|RPL15|RPL17|CXCL12|RPL18|RPL18A|RPL19|RPL21|RPL22|RPL22L1|RPL23|RPL23A|RPL24|RPL26|PFN1|RPL26L1|RPL27|RPL28|RPL29|RPL3|RPL30|RPL31|RPL32|RPL34|RPL35|ARHGAP39|RPL35A|RPL36|RPL36A|RPL36AL|RPL37|RPL37A|RPL38|PAK3|RPL39|RPL39L|RPL4|RPL41|CDC42|RPL5|RPL6|RPL7|RPL7A|RPL9|RPLP1|RPLP2|RPS10|RPS11|RPS12|RPS13|RPS15|RPS15A|RPS16|RPS17|MYO9B|RPS18|RPS19|RPS20|RPS21|RPS24|RPS25|RPS26|RPS27L|RPS28|RPS29|RPS3|RPS3A|SRGAP1|RPS4X|RPS4Y1|RPS5|RPS8|RPSA|PPP3CB|CLASP1|CLASP2","https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_SIGNALING_BY_ROBO_RECEPTORS","208","ENR","REACTOME_SIGNALING_BY_ROBO_RECEPTORS","1.5386","0.0","REACTOME_SIGNALING_BY_ROBO_RECEPTORS",,,"false","REACTOME_SIGNALING_BY_ROBO_RECEPTORS"
"1","-1.0","-0.5458","0.0097","0.406","H2AC14|H2AC18|H2AC19|H2AC20|H2AC4|H2AC6|H2AC7|H2AC8|H2AJ|H2AX|MBD4|H2AZ2|NEIL1|H2BC10|NEIL2|H2BC11|NTHL1|H2BC12|SMUG1|H2BC13|TDG|H2BC14|H2BC15|H2BC17|H2BC21|H2BC26|H2BC3|H2BC4|H2BC5|H2BC6|H2BC7|H2BC8|H2BC9|H4C1|H4C11|H4C12|H4C13|H4C14|H4C16|H4C2|H4C3|H4C4|H4C5|H4C8|H4C9|ACD|MPG|MUTYH|NEIL3|OGG1|POT1|TERF1|TERF2|TERF2IP|TINF2|UNG","https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_BASE_EXCISION_REPAIR_AP_SITE_FORMATION","56","ENR","REACTOME_BASE_EXCISION_REPAIR_AP_SITE_FORMATION","-1.7994","0.0","REACTOME_BASE_EXCISION_REPAIR_AP_SITE_FORMATION",,,"false","REACTOME_BASE_EXCISION_REPAIR_AP_SITE_FORMATION"
"1","1.0","0.3459","0.0326","0.464","GSPT1|GSPT2|CASC3|PSMA1|LHX4|PSMA2|MAGOH|PSMA3|MAGOHB|PSMA4|MSI1|PSMA5|PSMA6|PSMA7|RBM8A|PSMB1|RNPS1|PSMB10|ROBO3|PSMB2|UPF2|PSMB3|UPF3A|PSMB4|UPF3B|PSMB5|ZSWIM8|DAG1|PSMB6|PSMB7|PSMB8|PSMB9|PSMC1|PSMC2|PSMC3|PSMC4|PSMC5|PSMC6|PSMD1|PSMD10|PSMD11|PSMD12|PSMD13|PSMD14|PSMD2|PSMD3|PSMD4|PSMD5|PSMD6|PSMD7|PSMD8|PSMD9|PSME1|PSME2|PSME3|PSME4|ROBO2|PSMF1|SLIT2|RBX1|RPS27A|RPS6|RPS14|RPS7|RPS9|EIF4A3|SEM1|EIF4G1|ELOC|PABPC1|USP33|FAU|RPS2|RPL10|RPL10A|UBA52|RPL11|UBB|HOXA2|RPL12|UBC|RPL13|RPL13A|RPL14|RPL15|RPL17|RPL18|RPL18A|RPL19|RPL21|RPL22|RPL22L1|RPL23|RPL23A|RPL24|RPL26|RPL26L1|RPL27|RPL28|RPL29|RPL3|RPL30|RPL31|RPS27|RPL32|COL4A5|RPL34|RPL35|RPL35A|RPL36|RPL36A|RPL36AL|RPL37|RPL37A|RPL38|RPL39|RPL39L|RPL4|RPL41|RPL5|RPL6|RPL7|RPL7A|RPL9|RPLP1|RPLP2|RPS10|ELOB|RPS11|CUL2|ETF1|RPS12|RPS13|RPS15|RPS15A|RPS16|RPS17|RPS18|RPL27A|RPS19|RPL8|RPS20|RPS21|RPS23|RPS24|RPS25|RPS26|RPS27L|RPS28|RPS29|RPS3|RPS3A|RPS4X|RPS4Y1|RPS5|RPS8|RPSA|LDB1|LHX2|NCBP1|NCBP2|ROBO1|SLIT1|RPLP0","https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS","164","ENR","REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS","1.8033","0.0","REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS",,,"false","REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS"
"4","1.0","0.3691","0.0485","0.703","CUL4A|CUL4B|DDB1|ERCC5|USP7|ERCC8|POLR2A|ISY1|POLR2B|POLR2C|POLR2D|PRPF19|POLR2E|POLR2F|UVSSA|LIG1|POLR2G|XAB2|LIG3|POLR2H|XPA|POLR2I|ZNF830|POLR2J|POLR2K|PCNA|POLR2L|UBA52|ERCC1|POLD1|UBB|ERCC4|POLD2|UBC|POLD3|POLD4|POLE|POLE2|POLE3|POLK|POLE4|RFC1|RFC2|RFC3|RFC4|RFC5|XRCC1|CCNH|CDK7|ERCC2|ERCC3|GTF2H1|GTF2H2|GTF2H3|GTF2H4|GTF2H5|RPA1|MNAT1|PPIE|RPA2|RPA3|TCEA1|RBX1|RPS27A|COPS2|COPS3|COPS4|COPS5|COPS6|COPS7A|COPS7B|COPS8|GPS1|ELL|ERCC6|AQR","https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_TRANSCRIPTION_COUPLED_NUCLEOTIDE_EXCISION_REPAIR_TC_NER","76","ENR","REACTOME_TRANSCRIPTION_COUPLED_NUCLEOTIDE_EXCISION_REPAIR_TC_NER","1.7154","0.0","REACTOME_TRANSCRIPTION_COUPLED_NUCLEOTIDE_EXCISION_REPAIR_TC_NER",,,"false","REACTOME_TRANSCRIPTION_COUPLED_NUCLEOTIDE_EXCISION_REPAIR_TC_NER"
"10","0.994","0.4078","0.0613","0.855","SPEN|SRRM1|ACTG1|MYO6|ROCK1|STK38|ROCK2|TRA2B|TWF1|CCT2|DBN1|HSP90AB1|TXNL1|VIM|HNRNPC|CCT6A|CCT7|CPSF7|DDX39B|HSP90AA1|COPS2|CUL3|PDE5A|COPS4|ACTN1|TMOD3|MSI2|GPS1|RNF20|CDC37|PHIP|RBBP6|RBMX|RHOBTB1|RHOBTB2","https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_RHOBTB_GTPASE_CYCLE","35","ENR","REACTOME_RHOBTB_GTPASE_CYCLE","1.6442","0.006","REACTOME_RHOBTB_GTPASE_CYCLE",,,"false","REACTOME_RHOBTB_GTPASE_CYCLE"
"1","-1.0","-0.5875","2.0E-4","0.004","FIRRM|H2AC14|H2AC18|H2AC19|H2AC20|H2AC4|H2AC6|H2AC7|H2AC8|H2AJ|H2AX|H2AZ2|H2BC10|H2BC11|H2BC12|H2BC13|H2BC14|H2BC15|H2BC17|H2BC21|H2BC26|H2BC3|H2BC4|H2BC5|H2BC6|H2BC7|H2BC8|H2BC9|H3-3A|ATM|H3-3B|BLM|H3C1|BRCA1|H3C10|BRCA2|H3C11|DMC1|H3C12|FIGNL1|H3C13|H3C14|MLH1|H3C2|MLH3|H3C3|MND1|H3C4|MRE11|H3C6|MSH5|H3C7|NBN|H3C8|PSMC3IP|H4C1|RAD50|H4C11|RAD51|H4C12|RAD51C|H4C13|RBBP8|H4C14|RPA1|H4C16|RPA2|H4C2|RPA3|H4C3|TEX15|H4C4|TOP3A|H4C5|H4C8|H4C9|CDK2|CDK4","https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_MEIOTIC_RECOMBINATION","78","ENR","REACTOME_MEIOTIC_RECOMBINATION","-2.0414","0.0","REACTOME_MEIOTIC_RECOMBINATION",,,"false","REACTOME_MEIOTIC_RECOMBINATION"
